epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.99317,4.3242,5.70234,1.68357,0,0,0,0,3.24257,4.97107,1.22155,4.17e-06,4.17e-06,4.17e-06
2,6.1616,3.74115,5.39437,1.52683,0,0,0,0,3.26659,4.97175,1.23545,1.18908e-05,1.18908e-05,1.18908e-05
3,8.06748,4.1216,5.40276,1.53876,0,0,0,0,3.28794,4.97325,1.25009,1.87859e-05,1.87859e-05,1.87859e-05
4,10.0012,3.985,5.52673,1.52566,0,0,0,0,3.31108,4.97491,1.25843,2.48553e-05,2.48553e-05,2.48553e-05
5,11.911,4.1516,5.50738,1.62046,0,0,0,0,3.32592,4.97499,1.26122,3.00991e-05,3.00991e-05,3.00991e-05
6,14.177,4.12636,5.55226,1.5309,0,0,0,0,3.31809,4.97351,1.2591,3.45172e-05,3.45172e-05,3.45172e-05
7,16.1598,4.10113,5.3178,1.48804,0,0,0,0,3.27507,4.9622,1.22952,3.81096e-05,3.81096e-05,3.81096e-05
8,18.1679,3.72456,5.11648,1.29667,0,0,0,0,3.23861,4.95436,1.2003,4.08764e-05,4.08764e-05,4.08764e-05
9,20.0637,3.74405,5.0519,1.29153,0,0,0,0,3.22735,4.9518,1.18628,4.28176e-05,4.28176e-05,4.28176e-05
10,22.043,3.85538,5.09019,1.26116,0,0,0,0,3.24036,4.94971,1.17477,4.3933e-05,4.3933e-05,4.3933e-05
11,30.9811,3.5167,4.93506,1.21982,0,0,0,0,3.25876,4.94791,1.16422,4.42228e-05,4.42228e-05,4.42228e-05
12,33.0343,3.40648,4.88199,1.14898,0,0,0,0,3.28985,4.94089,1.15601,4.3687e-05,4.3687e-05,4.3687e-05
13,34.8834,3.19638,4.72042,1.12048,0,0,0,0,3.30648,4.93227,1.14738,4.23255e-05,4.23255e-05,4.23255e-05
14,36.5738,3.20398,4.73907,1.074,0,0,0,0,3.34973,4.92537,1.14127,4.01383e-05,4.01383e-05,4.01383e-05
15,38.2738,3.35184,4.78317,1.10242,0,0,0,0,3.38224,4.91787,1.1332,3.71255e-05,3.71255e-05,3.71255e-05
16,40.0418,3.25289,4.74257,1.08192,0,0,0,0,3.40237,4.90657,1.1257,3.3287e-05,3.3287e-05,3.3287e-05
17,41.823,3.22401,4.61333,1.07746,0,0,0,0,3.38288,4.89641,1.11695,2.86229e-05,2.86229e-05,2.86229e-05
18,43.7123,3.29636,4.58948,1.07832,0,0,0,0,3.36828,4.89147,1.10924,2.31331e-05,2.31331e-05,2.31331e-05
19,45.5587,3.17349,4.47295,1.05878,0,0,0,0,3.34317,4.8851,1.10337,1.68176e-05,1.68176e-05,1.68176e-05
20,47.3298,3.01132,4.46699,1.0584,0,0,0,0,3.32108,4.87868,1.10011,9.67649e-06,9.67649e-06,9.67649e-06
